"Year","ce_gwh","Country","ce_gwh_recyc"
2025,2.41190632687522,"Canada",0.0129226736076928
2025,1.99379257424021,"Mexico",0.0106824756796124
2025,31.407080586642,"United States",0.168274964441717
2026,2.51586780648191,"Canada",0.159657743342543
2026,2.07973190933677,"Mexico",0.131980425420884
2026,32.7608340602042,"United States",2.07901258666921
2027,2.59903699016726,"Canada",0.693877034648225
2027,2.14848337741402,"Mexico",0.573590633973665
2027,33.8438368390539,"United States",9.03544706591106
2028,2.68220617385261,"Canada",1.62243270033671
2028,2.21723484549127,"Mexico",1.3411774056444
2028,34.9268396179036,"United States",21.1268049667149
2029,2.76537535753796,"Canada",2.30635176561862
2029,2.28598631356852,"Mexico",1.9065363246647
2029,36.0098423967534,"United States",30.0325825081994
2030,2.84854454122332,"Canada",2.50666486588242
2030,2.35473778164577,"Mexico",2.07212433584854
2030,37.0928451756031,"United States",32.6409962813396
2031,2.93171372490867,"Canada",2.59813576008697
2031,2.42348924972302,"Mexico",2.14773837922659
2031,38.1758479544528,"United States",33.8321013062749
2032,3.18122127596473,"Canada",2.68232170142746
2032,2.62974365395476,"Mexico",2.21733034589204
2032,41.424856291002,"United States",34.9283439814076
2033,3.30597505149276,"Canada",2.76644112854735
2033,2.73287085607063,"Mexico",2.28686732884705
2033,43.0493604592766,"United States",36.0237205294179
2034,3.43072882702078,"Canada",2.86029101984812
2034,2.83599805818651,"Mexico",2.36444796051741
2034,44.6738646275512,"United States",37.2458041013572
2035,3.55548260254881,"Canada",2.98404895785224
2035,2.93912526030238,"Mexico",2.46675195758663
2035,46.2983687958257,"United States",38.8573407886745
2036,3.70102867399818,"Canada",3.14397677021982
2036,3.05944032943757,"Mexico",2.59895563447075
2036,48.1936236588128,"United States",40.9398701286848
2037,3.82578244952621,"Canada",3.30011892005211
2037,3.16256753155344,"Mexico",2.72802990878755
2037,49.8181278270873,"United States",42.9731037696892
2038,3.97132852097557,"Canada",3.43219632220882
2038,3.28288260068862,"Mexico",2.83721115712656
2038,51.7133826900744,"United States",44.6929738852854
2039,4.11687459242494,"Canada",3.56193850497824
2039,3.40319766982381,"Mexico",2.94446200583864
2039,53.6086375530614,"United States",46.3824355133435
2040,4.26242066387431,"Canada",3.69617634447709
2040,3.52351273895899,"Mexico",3.05542917093646
2040,55.5038924160484,"United States",48.1304381600213
2041,4.26242066387431,"Canada",3.83262941490246
2041,3.52351273895899,"Mexico",3.16822754768721
2041,55.5038924160484,"United States",49.9072868424893
2042,4.26242066387431,"Canada",3.97178835007222
2042,3.52351273895899,"Mexico",3.28326271654474
2042,55.5038924160484,"United States",51.7193704389904
2043,4.26242066387431,"Canada",4.10637680371279
2043,3.52351273895899,"Mexico",3.39451971539954
2043,55.5038924160484,"United States",53.4719386720185
2044,4.26242066387431,"Canada",4.20892471556918
2044,3.52351273895899,"Mexico",3.47929053045354
2044,55.5038924160484,"United States",54.8072851138673
2045,4.26242066387431,"Canada",4.25507973811644
2045,3.52351273895899,"Mexico",3.51744439248094
2045,55.5038924160484,"United States",55.4083012049434
2046,4.26242066387431,"Canada",4.26233452376235
2046,3.52351273895899,"Mexico",3.52344153158512
2046,55.5038924160484,"United States",55.5027707267822
2047,4.26242066387431,"Canada",4.26251256189142
2047,3.52351273895899,"Mexico",3.52358870608179
2047,55.5038924160484,"United States",55.5050890829326
2048,4.26242066387431,"Canada",4.26251282086908
2048,3.52351273895899,"Mexico",3.52358892016463
2048,55.5038924160484,"United States",55.5050924552578
2049,4.26242066387431,"Canada",4.26251282087639
2049,3.52351273895899,"Mexico",3.52358892017066
2049,55.5038924160484,"United States",55.5050924553529
2050,4.26242066387431,"Canada",4.26251282087639
2050,3.52351273895899,"Mexico",3.52358892017066
2050,55.5038924160484,"United States",55.5050924553529
